,id,buying_power,holding_balance,borrowed_balance,total_pl,total_shares
0,a50850b3-7c43-4278-abf0-ca5f98fa5115,99982000000.0,0.0,0.0,-107783.0,46483000
1,3ad0f8e9-3d04-4fe6-a139-f9a2e6315368,99969800000.0,0.0,28699400.0,-1485980.0,46165600
2,21860099-d52c-4ae2-9a43-fcf5c7fca9cd,99978000000.0,0.0,20682800.0,-1328110.0,45509800
3,0c7cbb80-0100-463c-9cad-c1ed59887353,99997400000.0,0.0,2046980.0,-592570.0,46003000
4,a91ba593-f879-464b-8396-1db1a14586e3,99988800000.0,0.0,0.0,-535886.0,46626600
5,5c79f980-dd01-49b1-8da6-f18bb20426e0,9958700000.0,3360020.0,0.0,2738390.0,179846000
6,5bbeddb0-0a4a-428c-b41a-91c8e8b1d3e9,9974080000.0,3661890.0,0.0,2533760.0,162238200
7,020b44fc-71c3-4255-8481-10f0c2de905c,99961400000.0,0.0,37175500.0,-1434700.0,45748500
8,133e6992-e764-4f39-9493-e3075314281e,99998800000.0,0.0,0.0,-465308.0,45674300
9,a0dd9ca3-14ed-417b-bc71-5fe552ee328a,9954280000.0,4364080.0,0.0,2410440.0,179971200
10,57f149c8-9a56-43b5-bcdc-7c1145c6564b,99988400000.0,0.0,10801900.0,-748018.0,45696900
11,aa5c12e7-9159-46be-8a70-9256e0e375f8,99980100000.0,0.0,18803600.0,-1089460.0,45790100
12,12269d78-48b0-4dd2-af7d-a4cefc5a8518,9986210000.0,3221200.0,11971600.0,1407940.0,180203700
13,d8d58668-483f-4af9-a75c-8e86b0fedc22,99990600000.0,0.0,8212850.0,-1140960.0,45202500
