act_dir,rew,total_pnl,pnl,inv_pnl,buy_frac,sell_frac,curr_q,mp,sp,inv,bp,bid_vol,ask_vol,filled
-1,0.14987500000000015,-0.024999999999977263,0.0,0.049999999999954525,0.0,1.0,0.8,99.98,0.0,-10.0,99999900012.0,226.0,17.01,True
-1,-0.0005000000000002558,-0.10000000000005116,0.0,-0.20000000000010232,0.0,1.0,0.8,99.99000000000001,0.01999999999999602,-20.0,99999800032.0,250.0,12.01,True
1,-0.24666666666669318,-16.0000000000053,-16.0000000000053,-0.0,0.3333333333333333,0.6666666666666666,0.4666666666666667,99.99000000000001,0.01999999999999602,-10.0,99999900000.0,550.0,12.01,True
-1,0.0414166666666662,-0.050000000000096634,0.0,0.10000000000019327,0.25,0.75,0.55,99.985,0.009999999999990905,-20.0,99999800020.0,800.0,17.01,True
1,-0.11499999999997801,-7.999999999995598,-7.999999999995598,-0.0,0.4,0.6,0.4,99.985,0.009999999999990905,-10.0,99999899994.0,855.0,17.01,True
1,-0.089999999999978,-7.999999999995602,-7.999999999995602,-0.0,0.5,0.5,0.30000000000000004,99.98,0.0,0.0,99999999968.0,944.0,432.01,True
0,0.0,0.0,0.0,-0.0,0.42857142857142855,0.42857142857142855,0.30000000000000004,99.975,0.010000000000005116,0.0,99999999968.0,813.0,432.01,True
-1,0.03125,0.0,0.0,-0.0,0.375,0.5,0.36250000000000004,99.975,0.010000000000005116,-10.0,99999899998.0,900.0,432.01,True
1,-0.0812500000000255,-10.000000000005098,-10.000000000005098,0.0,0.4444444444444444,0.4444444444444444,0.30000000000000004,99.98,0.0,0.0,99999999958.0,1195.0,432.01,True
-1,0.024999999999999994,0.0,0.0,-0.0,0.4,0.5,0.35000000000000003,99.98,0.0,-10.0,99999899978.0,1190.0,432.01,True
-1,0.020454545454545447,0.0,0.0,-0.0,0.36363636363636365,0.5454545454545454,0.39090909090909093,99.98,0.0,-20.0,99999799998.0,1173.0,432.01,True
0,-0.00403787878787853,-0.049999999999954525,0.0,-0.09999999999990905,0.3333333333333333,0.5,0.3833333333333334,99.985,-0.009999999999990905,-20.0,99999799998.0,1645.0,432.01,True
1,-0.022435897435897467,0.0,0.0,-0.0,0.38461538461538464,0.46153846153846156,0.3384615384615385,99.985,0.009999999999990905,-10.0,99999899978.0,847.0,12.01,True
-1,0.01648351648351648,0.0,0.0,-0.0,0.35714285714285715,0.5,0.37142857142857144,99.985,0.009999999999990905,-20.0,99999799998.0,847.0,12.01,True
0,-0.002630952380952145,-0.049999999999954525,0.0,0.09999999999990905,0.3333333333333333,0.4666666666666667,0.3666666666666667,99.98,0.0,-20.0,99999799998.0,852.0,252.01,True
-1,0.013541666666666674,0.0,0.0,-0.0,0.3125,0.5,0.39375000000000004,99.98,0.009999999999990905,-30.0,99999700018.0,932.0,12.01,True
0,-0.0031323529411761476,-0.07499999999993179,0.0,-0.14999999999986358,0.29411764705882354,0.47058823529411764,0.38823529411764707,99.985,0.009999999999990905,-30.0,99999700018.0,968.0,12.01,True
1,-0.06633986928100022,-9.999999999990898,-9.999999999990898,-0.0,0.3333333333333333,0.4444444444444444,0.3555555555555556,99.985,0.009999999999990905,-20.0,99999799988.0,609.0,12.01,True
0,-0.0017119883040933536,-0.049999999999954525,0.0,0.09999999999990905,0.3157894736842105,0.42105263157894735,0.35263157894736846,99.98,0.0,-20.0,99999799988.0,641.0,233.01,True
-1,0.011184210526315769,0.0,0.0,-0.0,0.3,0.45,0.375,99.98,0.0,-30.0,99999700008.0,731.0,233.01,True
0,-0.0017857142857142794,0.0,0.0,-0.0,0.2857142857142857,0.42857142857142855,0.37142857142857144,99.98,0.0,-30.0,99999700008.0,714.0,233.01,True
-1,0.009740259740259771,0.0,0.0,-0.0,0.2727272727272727,0.45454545454545453,0.390909090909091,99.98,0.0,-40.0,99999600028.0,895.0,233.01,True
0,-0.0019762845849802813,0.0,0.0,-0.0,0.2608695652173913,0.43478260869565216,0.3869565217391304,99.98,0.010000000000005116,-40.0,99999600028.0,787.0,279.01,True
1,-0.012603260869565914,-0.07500000000014495,0.0,0.1500000000002899,0.2916666666666667,0.4166666666666667,0.36250000000000004,99.975,0.010000000000005116,-30.0,99999700008.0,794.0,279.01,True
0,-0.001625000000000726,-0.07500000000014495,0.0,-0.1500000000002899,0.28,0.4,0.36000000000000004,99.98,0.0,-30.0,99999700008.0,1011.0,279.01,True
-1,0.008461538461538493,0.0,0.0,-0.0,0.2692307692307692,0.4230769230769231,0.376923076923077,99.98,0.0,-30.0,99999700008.0,1011.0,279.01,False
