sp,mid,ask_5,ask_4,ask_3,ask_2,ask_1,bid_1,bid_2,bid_3,bid_4,bid_5
0.63,100.025,1,1,1,1,1,1,1,1,1,1
100.34,50.17,1,1,1,1,1,0,0,0,0,0
0.65,99.935,0,1,1,1,1,1,1,1,1,1
0.69,99.975,0,0,0,1,1,1,1,1,1,1
0.63,100.005,1,1,1,1,1,1,1,1,1,1
0.63,99.905,1,1,1,1,1,1,1,1,1,1
0.63,99.985,1,1,1,1,1,1,1,1,1,1
0.65,99.975,1,1,1,1,1,1,1,1,1,0
0.71,99.925,1,1,1,1,1,1,0,0,0,0
0.64,99.88,1,1,1,1,1,1,1,1,1,0
0.66,99.85,1,1,1,1,1,1,1,1,0,0
0.62,99.83,1,1,1,1,1,1,1,1,1,1
0.62,99.85,1,1,1,1,1,1,1,1,1,1
0.62,99.77,1,1,1,1,1,1,1,1,1,1
0.62,99.74,1,1,1,1,1,1,1,1,1,1
0.64,99.73,1,1,1,1,1,1,1,1,1,0
0.7,99.61,1,1,1,1,1,1,0,0,0,0
0.63,99.575,1,1,1,1,1,1,1,1,1,1
0.63,99.615,1,1,1,1,1,1,1,1,1,1
0.62,99.71,1,1,1,1,1,1,1,1,1,1
0.63,99.655,1,1,1,1,1,1,1,1,1,1
0.65,99.665,0,1,1,1,1,1,1,1,1,1
0.65,99.665,1,1,1,1,1,1,1,1,1,0
99.99,49.995,0,0,0,0,1,0,0,0,0,0
0.63,99.555,1,1,1,1,1,1,1,1,1,1
0.63,99.495,0,0,1,1,1,1,1,1,1,1
0.63,99.535,0,0,1,1,1,1,1,1,1,1
0.63,99.635,1,1,1,1,1,1,1,1,1,1
-99.32,49.66,0,0,0,0,0,1,1,1,1,1
-99.42,49.71,0,0,0,0,0,1,1,1,1,1
-99.36,49.68,0,0,0,0,0,1,1,0,0,0
0.77,99.665,0,0,0,0,1,1,0,0,0,0
0.69,99.705,1,1,1,1,1,1,1,0,0,0
99.99,49.995,1,1,1,1,1,0,0,0,0,0
0.63,99.575,1,1,1,1,1,1,1,1,1,1
0.63,99.675,1,1,1,1,1,1,1,1,1,1
99.99,49.995,1,1,1,1,1,0,0,0,0,0
99.89,49.945,1,1,1,1,1,0,0,0,0,0
99.79,49.895,1,1,1,1,1,0,0,0,0,0
0.69,99.405,0,0,0,1,1,1,1,1,1,1
0.63,99.435,1,1,1,1,1,1,1,1,1,1
0.63,99.375,1,1,1,1,1,1,1,1,1,1
0.63,99.455,1,1,1,1,1,1,1,1,1,1
99.77,49.885,1,1,1,1,1,0,0,0,0,0
0.71,99.415,0,0,0,0,1,1,1,1,1,1
0.65,99.445,1,1,1,1,1,1,1,1,1,0
0.67,99.455,0,0,1,1,1,1,1,1,1,1
0.63,99.475,1,1,1,1,1,1,1,1,1,1
0.63,99.435,1,1,1,1,1,1,1,1,1,1
0.63,99.335,1,1,1,1,1,1,1,1,1,1
0.67,99.315,1,1,1,1,1,1,1,1,0,0
0.69,99.265,1,1,1,1,1,1,1,0,0,0
0.65,99.245,0,1,1,1,1,1,1,1,1,1
0.63,99.255,1,1,1,1,1,1,1,1,1,1
0.63,99.355,1,1,1,1,1,1,1,1,1,1
0.63,99.315,1,1,1,1,1,1,1,1,1,1
0.63,99.395,1,1,1,1,1,1,1,1,1,1
0.65,99.385,1,1,1,1,1,1,1,1,1,0
0.63,99.375,1,1,1,1,1,1,1,1,1,1
0.63,99.335,1,1,1,1,1,1,1,1,1,1
0.63,99.395,0,1,1,1,1,1,1,1,1,1
-99.04,49.52,0,0,0,0,0,1,0,0,0,0
-98.98,49.49,0,0,0,0,0,1,0,0,0,0
0.63,99.395,0,0,1,1,1,1,1,1,1,1
0.71,99.355,1,1,1,1,1,1,0,0,0,0
0.71,99.355,1,1,1,1,1,1,0,0,0,0
0.71,99.355,1,1,1,1,1,1,0,0,0,0
0.71,99.355,0,1,1,1,1,1,0,0,0,0
0.71,99.355,0,0,0,1,1,1,0,0,0,0
0.71,99.355,0,0,0,1,1,1,0,0,0,0
0.71,99.355,0,0,0,0,1,1,0,0,0,0
0.71,99.355,0,0,0,0,1,1,0,0,0,0
0.71,99.355,0,0,0,0,1,1,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0
-99.01,49.505,0,0,0,0,0,1,1,1,1,1
0.65,99.425,0,1,1,1,1,1,1,1,1,1
0.62,99.34,1,1,1,1,1,1,1,1,1,1
0.62,99.32,1,1,1,1,1,1,1,1,1,1
0.62,99.28,1,1,1,1,1,1,1,1,1,1
99.59,49.795,1,1,1,1,1,0,0,0,0,0
0.7,99.14,1,1,1,1,1,1,0,0,0,0
0.64,99.09,1,1,1,1,1,1,1,1,1,0
0.62,99.02,1,1,1,1,1,1,1,1,1,1
0.63,98.945,1,1,1,1,1,1,1,1,1,1
0.63,98.925,1,1,1,1,1,1,1,1,1,1
0.63,98.965,1,1,1,1,1,1,1,1,1,1
0.69,98.995,0,0,0,1,1,1,1,1,1,1
0.63,99.025,1,1,1,1,1,1,1,1,1,1
0.63,98.965,1,1,1,1,1,1,1,1,1,1
-98.71,49.355,0,0,0,0,0,1,1,0,0,0
0.62,99.08,0,0,1,1,1,1,1,1,1,1
99.39,49.695,0,1,1,1,1,0,0,0,0,0
0.65,98.995,0,1,1,1,1,1,1,1,1,1
0.63,99.005,1,1,1,1,1,1,1,1,1,1
-98.69,49.345,0,0,0,0,0,1,1,1,1,1
0.62,99.1,1,1,1,1,1,1,1,1,1,1
0.66,99.08,1,1,1,1,1,1,1,1,0,0
-98.75,49.375,0,0,0,0,0,1,1,1,1,1
-98.85,49.425,0,0,0,0,0,1,1,1,1,1
0.68,99.23,1,1,1,1,1,1,1,0,0,0
0.62,99.2,1,1,1,1,1,1,1,1,1,1
0.62,99.18,1,1,1,1,1,1,1,1,1,1
0.68,99.15,1,1,1,1,1,1,1,0,0,0
0.7,99.16,0,0,0,0,1,1,1,1,1,1
0.7,99.16,1,1,1,1,1,1,0,0,0,0
0.67,99.145,0,0,1,1,1,1,1,1,1,1
0.63,99.165,1,1,1,1,1,1,1,1,1,1
0.63,99.085,1,1,1,1,1,1,1,1,1,1
0.63,99.125,1,1,1,1,1,1,1,1,1,1
0.67,99.145,0,0,1,1,1,1,1,1,1,1
0.67,99.145,1,1,1,1,1,1,1,1,0,0
0.69,99.095,1,1,1,1,1,1,1,0,0,0
0.63,99.065,1,1,1,1,1,1,1,1,1,1
0.63,98.985,1,1,1,1,1,1,1,1,1,1
0.63,99.065,1,1,1,1,1,1,1,1,1,1
0.63,99.005,1,1,1,1,1,1,1,1,1,1
0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.68,98.94,1,1,1,1,1,1,1,0,0,0
-98.6,49.3,0,0,0,0,0,1,0,0,0,0
0.66,98.89,0,1,1,1,1,1,1,1,0,0
0.7,98.91,0,0,0,0,1,1,1,1,1,1
0.7,98.99,0,0,0,0,1,1,1,1,1,1
99.34,49.67,1,1,1,1,1,0,0,0,0,0
0.62,98.93,1,1,1,1,1,1,1,1,1,1
0.62,98.87,1,1,1,1,1,1,1,1,1,1
0.62,98.89,1,1,1,1,1,1,1,1,1,1
0.7,98.85,1,1,1,1,1,1,0,0,0,0
-98.5,49.25,0,0,0,0,0,1,1,1,1,1
0.64,98.9,1,1,1,1,1,1,1,1,1,0
0.68,98.86,1,1,1,1,1,1,1,0,0,0
0.62,98.81,1,1,1,1,1,1,1,1,1,1
0.62,98.73,1,1,1,1,1,1,1,1,1,1
0.62,98.75,1,1,1,1,1,1,1,1,1,1
0.64,98.74,1,1,1,1,1,1,1,1,1,0
0.7,98.77,0,0,0,0,1,1,1,1,1,1
0.68,98.84,0,0,0,1,1,1,1,1,1,1
0.62,98.87,1,1,1,1,1,1,1,1,1,1
0.62,98.93,1,1,1,1,1,1,1,1,1,1
0.62,99.03,1,1,1,1,1,1,1,1,1,1
