,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_5_p,bid_4,bid_4_p,bid_3,bid_3_p,bid_2,bid_2_p,bid_1,bid_1_p,ask_1_p,ask_1,ask_2_p,ask_2,ask_3_p,ask_3,ask_4_p,ask_4,ask_5_p,ask_5,Bid_depth,Ask_depth
14,72.7918145044388,3.238156932638958e-05,0.07208311557769775,-1.0,1038.22794117658,179.00000000009157,0.136986301369863,100.005,4900.0,0.363013698630137,438.0,9998323219.0,0.31,34.0,99.79,39.0,99.81,5.0,99.82,50.0,99.84,41.0,99.85,100.16,56.0,100.18,92.0,100.2,31.0,100.23,50.0,100.24,40.0,7.0,7.0
15,73.59684953561005,2.833068538166117e-05,-1.0,0.9200077056884766,1030.78676470598,56.50000000006372,0.047987616099071206,100.0,3600.0,0.4520123839009288,323.0,9998432903.0,0.32,34.0,99.79,39.0,99.81,5.0,99.82,21.0,99.83,24.0,99.84,100.16,9.0,100.18,70.0,100.2,31.0,100.23,50.0,100.24,40.0,9.0,9.0
16,73.99375478919482,4.999999873689376e-06,0.1575467586517334,0.6064999103546143,1100.93827985749,488.0000000000223,0.017006802721088454,99.995,3200.0,0.48299319727891155,294.0,9998392904.3,0.37,29.0,99.66,26.0,99.72,23.0,99.74,34.0,99.79,13.0,99.81,100.18,43.0,100.2,31.0,100.23,50.0,100.24,40.0,100.26,5.0,10.0,11.0
17,142.93146571492386,3.170713898725808e-05,1.0,-0.4494638442993164,2050.06031097954,432.4999999999818,0.009383378016085797,99.83,5500.0,0.4906166219839142,373.0,9998535334.54,0.22,32.0,99.57,46.0,99.62,40.0,99.63,29.0,99.66,24.0,99.72,99.94,20.0,100.18,43.0,100.2,63.0,100.22,26.0,100.23,50.0,8.0,12.0
18,158.15172135886633,3.5618752008304e-05,-1.0,-0.2645108699798584,2242.92183432107,307.99999999999983,0.061253561253561295,99.975,3300.0,0.5612535612535613,351.0,9998136476.26,0.41,40.0,99.63,29.0,99.66,24.0,99.67,24.0,99.72,40.0,99.77,100.18,14.0,100.2,63.0,100.21,41.0,100.22,26.0,100.23,50.0,9.0,14.0
19,160.06157885077826,7.540313163190149e-06,0.13094091415405273,-0.17981058359146118,2242.92183432107,128.9999999999779,0.17796610169491522,100.03,2000.0,0.6779661016949152,295.0,9997926546.26,0.3,32.0,99.67,24.0,99.72,40.0,99.77,5.0,99.84,5.0,99.88,100.18,9.0,100.2,63.0,100.21,41.0,100.22,26.0,100.23,50.0,11.0,14.0
20,202.8255372487958,4.3405365431681275e-05,0.5662667751312256,1.0,2830.64722586798,89.00000000001285,0.09931506849315064,100.155,-1300.0,0.5993150684931506,292.0,9998176295.48,0.11,26.0,99.73,40.0,99.77,5.0,99.84,5.0,99.88,4.0,100.1,100.21,41.0,100.22,26.0,100.23,100.0,100.24,40.0,100.26,5.0,13.0,15.0
21,200.07665668994744,4.140770761296153e-05,-1.0,-0.4161653518676758,2792.34078196664,89.00000000001285,0.05339805825242716,100.08,-900.0,0.5533980582524272,309.0,9998256298.88,0.22,26.0,99.73,40.0,99.77,5.0,99.84,5.0,99.88,25.0,99.97,100.19,1.0,100.21,41.0,100.22,26.0,100.23,100.0,100.24,40.0,15.0,15.0
22,199.1703203506779,7.91775164543651e-06,0.9527690410614014,-1.0,2792.34078196664,172.99999999999045,0.049079754601227044,99.86,-1700.0,0.549079754601227,326.0,9998096522.88,0.04,32.0,99.67,24.0,99.72,26.0,99.73,40.0,99.77,5.0,99.84,99.88,6.0,100.21,36.0,100.22,17.0,100.23,100.0,100.24,40.0,15.0,16.0
23,237.6842118977231,2.5211160391336307e-05,0.06202805042266846,-0.13006699085235596,3336.97837809756,238.00000000000097,0.03915662650602414,99.84,-1700.0,0.5391566265060241,332.0,9998097487.14,0.1,32.0,99.67,24.0,99.72,26.0,99.73,40.0,99.77,8.0,99.79,99.89,9.0,100.21,36.0,100.22,17.0,100.23,100.0,100.24,40.0,14.0,18.0
