,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
0,-0.0471264367816092,2.9641958462889306e-05,-0.4974633455276489,0.5864930152893066,0.0,0.0,0.0942528735632184,99.82,300.0,0.005747126436781609,522.0,999970051.0,0.02,37.0,20.0,31.0,65.0,72.0,70.0,38.0,29.0,37.0,123.0
1,-0.04522900763358779,1.0806088539538905e-05,1.0,0.32286691665649414,0.0,0.0,0.09045801526717558,99.82,300.0,0.009541984732824428,524.0,999960070.0,0.02,37.0,20.0,31.0,65.0,73.0,70.0,38.0,30.0,37.0,123.0
2,-0.0846907216495075,4.999999873689376e-06,-0.10582011938095093,-0.603564441204071,-1.00000000000051,0.0,0.07938144329896908,99.82,200.0,0.020618556701030927,291.0,999960072.0,0.02,20.0,31.0,65.0,14.0,22.0,8.0,38.0,30.0,37.0,26.0
3,-0.028753541076487255,5.20704998052679e-05,1.0,0.02568221092224121,0.0,0.0,0.05750708215297451,99.82,300.0,0.042492917847025496,353.0,999910172.0,0.02,37.0,71.0,65.0,19.0,17.0,8.0,43.0,30.0,37.0,26.0
4,0.09360498084295786,2.8589403882506303e-05,-0.659061849117279,-1.0,3.2222222222230803,1.999999999998181,0.08659003831417625,99.815,100.0,0.013409961685823755,522.0,999820331.0,0.03,121.0,37.0,71.0,65.0,25.0,5.0,12.0,37.0,26.0,123.0
5,-0.12644657794674177,4.999999873689376e-06,-1.0,-1.0,-1.555555555555089,2.9999999999986926,0.08859315589353613,99.825,-200.0,0.011406844106463879,526.0,999820333.0,0.05,44.0,37.0,71.0,70.0,19.0,12.0,37.0,26.0,123.0,87.0
6,-0.08355549450548605,1.1394022294552997e-05,-0.4218481779098511,-1.0,-0.777777777777544,1.0000000000005116,0.08901098901098901,99.825,-300.0,0.01098901098901099,637.0,999820337.0,0.05,33.0,150.0,37.0,72.0,18.0,54.0,37.0,26.0,123.0,87.0
7,0.48385202020206974,8.63097156980075e-05,1.0,0.0973583459854126,11.819444444445562,4.5000000000001705,0.0595959595959596,99.84,-200.0,0.04040404040404041,495.0,999810397.74,0.02,38.0,17.0,33.0,31.0,82.0,21.0,37.0,26.0,123.0,87.0
8,0.9335054123711357,1.0623280104482546e-05,0.14774954319000244,-1.0,21.666666666666803,3.50000000000108,0.054639175257731966,99.845,-200.0,0.04536082474226804,485.0,999770452.74,0.01,38.0,57.0,31.0,82.0,17.0,5.0,19.0,26.0,123.0,87.0
9,-0.2958586956521877,6.343167478917167e-05,-0.5316328406333923,0.1835414171218872,0.0,65.00000000000341,0.06521739130434784,99.905,-1200.0,0.034782608695652174,690.0,999700564.74,0.01,57.0,32.0,82.0,16.0,2.0,123.0,87.0,56.0,61.0,174.0
10,-1.2932020161291924,5.025052814744413e-05,0.385654091835022,0.6050128936767578,-17.8819444444471,114.00000000001,0.05362903225806452,99.865,-1300.0,0.046370967741935484,496.0,999690563.96,0.05,63.0,57.0,1.0,82.0,51.0,7.0,5.0,82.0,92.0,56.0
11,0.2498053030300971,6.13357697147876e-05,0.1437748670578003,0.26575934886932373,11.0833333333289,54.50000000000159,0.05643939393939394,99.86,-100.0,0.043560606060606064,528.0,999870304.14,0.02,63.0,57.0,1.0,122.0,6.0,36.0,7.0,88.0,92.0,56.0
12,-0.03492840909088141,6.579322507604957e-05,1.0,0.6845333576202393,0.42361111111119953,7.999999999994145,0.04318181818181819,99.845,600.0,0.056818181818181816,528.0,999820380.0,0.03,16.0,63.0,57.0,1.0,102.0,59.0,36.0,14.0,88.0,92.0
13,-0.02348654562382485,4.969320434611291e-05,0.048902153968811035,1.0,0.0,1.4999999999972147,0.03482309124767226,99.85,1100.0,0.06517690875232775,537.0,999770450.0,0.04,16.0,78.0,57.0,1.0,102.0,28.0,19.0,88.0,92.0,56.0
14,0.6846353658535089,4.999999873689376e-06,0.8218863010406494,0.9257297515869141,17.9166666666646,19.000000000013983,0.08932926829268294,99.87,0.0,0.010670731707317074,656.0,999860224.0,0.08,12.0,77.0,47.0,65.0,100.0,84.0,88.0,56.0,89.0,38.0
15,-0.40213621169915587,3.3326596167171374e-05,-1.0,0.6007901430130005,-5.999999999998799,22.000000000011255,0.0860724233983287,99.905,300.0,0.013927576601671309,718.0,999890185.0,0.01,77.0,117.0,65.0,100.0,33.0,52.0,91.0,56.0,89.0,38.0
16,0.37077586206897595,2.466207843099255e-05,0.444317102432251,-0.731572687625885,9.166666666666899,0.0,0.08344827586206897,99.905,100.0,0.016551724137931035,725.0,999890187.0,0.01,117.0,149.0,100.0,2.0,31.0,52.0,91.0,56.0,89.0,38.0
17,-0.030303030303030307,9.999999747378752e-05,0.538078784942627,-0.0012205839157104492,0.0,0.0,0.060606060606060615,99.905,100.0,0.03939393939393939,660.0,999790287.0,0.01,149.0,100.0,38.0,2.0,41.0,56.0,91.0,56.0,89.0,38.0
18,-0.38499999999992807,7.248698966577649e-05,0.2629598379135132,1.0,-7.999999999998401,0.0,0.05,99.905,800.0,0.05,660.0,999800262.0,0.01,149.0,100.0,38.0,2.0,41.0,49.0,98.0,56.0,89.0,38.0
19,0.10518257032143773,1.1932883353438228e-05,1.0,0.7576706409454346,3.4895833333322983,3.999999999996362,0.07129735935706086,99.91,-200.0,0.02870264064293915,871.0,999710344.0,0.02,149.0,100.0,38.0,2.0,24.0,96.0,56.0,89.0,38.0,279.0
20,0.17423676900585072,2.987968946399633e-05,-0.14012372493743896,-0.9531151652336121,4.979166666666401,3.999999999996362,0.06725146198830409,99.91,-500.0,0.03274853801169591,855.0,999690370.0,0.02,149.0,100.0,41.0,2.0,21.0,96.0,56.0,89.0,38.0,263.0
21,-0.04304750869061414,7.406855729641393e-05,-1.0,-0.560933530330658,0.0,0.0,0.08609501738122828,99.91,-1200.0,0.013904982618771726,863.0,999670388.0,0.02,117.0,149.0,100.0,41.0,11.0,18.0,56.0,70.0,38.0,263.0
22,0.9771740782008524,8.024839189602062e-05,0.3832433223724365,-0.2866295576095581,22.447916666664,0.0,0.06596434359805511,99.91,-1900.0,0.03403565640194489,617.0,999620452.0,0.02,100.0,28.0,41.0,8.0,11.0,2.0,56.0,70.0,38.0,263.0
23,0.769675247524107,4.999999873689376e-06,0.31127214431762695,0.12206387519836426,24.999999999984297,75.99999999998488,0.09504950495049505,99.87,100.0,0.0049504950495049506,606.0,999990108.0,0.02,62.0,129.0,149.0,52.0,28.0,19.0,2.0,57.0,70.0,38.0
24,-0.3581959312838452,9.734780906001106e-05,1.0,1.0,0.0,78.999999999985,0.07649186256781194,99.845,1100.0,0.023508137432188065,553.0,999890238.0,0.03,12.0,62.0,129.0,149.0,17.0,96.0,19.0,10.0,2.0,57.0
25,-0.048424999999980206,7.27948427083902e-05,0.51111900806427,-0.23284673690795898,0.0,8.499999999995111,0.02800000000000001,99.85,1100.0,0.072,375.0,999820364.0,0.02,62.0,129.0,91.0,17.0,3.0,41.0,19.0,1.0,10.0,2.0
26,-0.05737973621099066,2.2779631763114594e-05,1.0,-0.5000172257423401,0.0,10.999999999989996,0.02565947242206236,99.845,1100.0,0.07434052757793765,417.0,999800400.0,0.03,12.0,62.0,129.0,122.0,17.0,43.0,19.0,1.0,10.0,2.0
27,-0.5738337954464696,9.999999747378752e-05,-0.0478055477142334,0.8166825771331787,-3.7142857142909946,89.50000000000813,0.0884318766066838,99.885,200.0,0.011568123393316195,778.0,999710510.0,0.09,12.0,62.0,129.0,102.0,6.0,56.0,70.0,38.0,40.0,263.0
28,-0.5077939024392252,7.484769594157115e-05,0.44387757778167725,-1.0,-4.000000000003496,71.00000000001074,0.08048780487804878,99.915,-500.0,0.01951219512195122,820.0,999710601.0,0.03,12.0,62.0,172.0,102.0,5.0,56.0,70.0,38.0,40.0,263.0
29,-0.2966416376307133,9.96518247120548e-06,-0.8914620280265808,0.44731593132019043,-5.0000000000011084,9.000000000000341,0.07038327526132404,99.905,-400.0,0.029616724738675958,574.0,999720584.0,0.01,172.0,102.0,51.0,27.0,5.0,50.0,3.0,56.0,70.0,38.0
30,0.05693693379788938,4.999999873689376e-06,-0.15077364444732666,-1.0,2.4285714285710043,6.000000000000227,0.056097560975609764,99.91,-500.0,0.04390243902439024,410.0,999740561.0,0.02,102.0,51.0,27.0,1.0,4.0,21.0,56.0,70.0,38.0,40.0
31,0.16735800344228524,4.999999873689376e-06,-1.0,-0.20359915494918823,4.428571428570706,5.6843418860808015e-12,0.06385542168674699,99.915,-500.0,0.03614457831325301,498.0,999740561.0,0.01,102.0,67.0,20.0,80.0,1.0,3.0,56.0,70.0,59.0,40.0
32,-1.2207763334032082,9.999999747378752e-05,-1.0,0.34863293170928955,-26.02380952381371,2.999999999991587,0.07510980966325037,99.925,-400.0,0.024890190336749635,683.0,999700537.0,0.01,67.0,20.0,55.0,36.0,25.0,56.0,70.0,59.0,240.0,55.0
33,0.30579561101554953,9.999999747378752e-05,0.2634166479110718,-1.0,7.9047619047628075,4.9999999999954525,0.05933734939759037,99.925,-1400.0,0.04066265060240964,664.0,999580643.0,0.01,20.0,55.0,36.0,10.0,106.0,56.0,42.0,59.0,225.0,55.0
34,-0.42722222222242945,9.392599895363674e-05,0.41791462898254395,1.0,-9.000000000004604,0.0,0.04444444444444445,99.925,-500.0,0.05555555555555555,648.0,999670562.0,0.01,20.0,55.0,36.0,10.0,106.0,19.0,51.0,59.0,67.0,225.0
