,BA_spead,last_traded_price,Smart_price,Liquidity_imb,market_cost,remained_shares,remained_time,reward,order_type,is_buy,premium,obj_price,base_price,executed,done
350,0.009999999999990905,0.1529,0.15290299999999998,0.054,0.00044870000000000234,1.0,3.0,0.0,Type.LIMIT_SELL,False,0.07000000029802322,152.97000000029803,152.9,0,False
351,0.030000000000001137,0.15292,0.15290715909090913,0.055,0.0004286999999999921,1.0,2.0,0.0,Type.LIMIT_SELL,False,0.07000000029802322,152.98000000029802,152.91,0,False
352,0.030000000000001137,0.1529,0.152892,0.067,0.00042863999999997305,1.0,1.0,3.199999932944775,Type.LIMIT_SELL,False,0.029999999329447746,152.89999999932945,152.87,1,True
353,0.030000000000001137,0.15294,0.1529341935483871,0.027,0.0004888199999999757,1.0,5.0,0.0,Type.LIMIT_BUY,True,0.029999999329447746,152.94000000067055,152.97,0,False
354,0.030000000000001137,0.15303,0.153006,-0.013,0.000489089999999976,1.0,4.0,0.0,Type.LIMIT_BUY,True,0.07000000029802322,152.95999999970198,153.03,0,False
355,0.030000000000001137,0.153023,0.1530153571428571,-0.018,0.0004891199999999856,1.0,3.0,0.0,Type.LIMIT_BUY,True,0.07000000029802322,152.96999999970197,153.04,0,False
356,0.030000000000001137,0.15303,0.15302884615384615,0.023,0.000489089999999976,1.0,2.0,3.199999932944775,Type.LIMIT_BUY,True,0.029999999329447746,153.00000000067055,153.03,1,True
357,0.030000000000001137,0.15297,0.15297769230769231,-0.078,0.0008576999999999657,2.0,5.0,0.0,Type.LIMIT_SELL,False,0.09000000357627869,153.04000000357627,152.95,0,False
358,0.030000000000001137,0.15294,0.15295000000000003,-0.059,0.0008575799999999844,2.0,4.0,0.0,Type.LIMIT_SELL,False,0.05999999865889549,152.9899999986589,152.93,0,False
359,0.030000000000001137,0.15291,0.1529158823529412,-0.018,0.0008573999999999842,2.0,3.0,0.0,Type.LIMIT_SELL,False,0.03999999910593033,152.91999999910593,152.88,0,False
360,0.009999999999990905,0.15284999999999999,0.15284857142857142,-0.04,0.0008970400000000041,2.0,2.0,0.0,Type.LIMIT_SELL,False,0.07999999821186066,152.90999999821187,152.83,0,False
361,0.020000000000010232,0.15284,0.15285459459459463,-0.054,0.0008770399999999654,2.0,1.0,16.39999964237213,Type.LIMIT_SELL,False,0.07999999821186066,152.83999999821185,152.76,2,True
362,0.030000000000001137,0.15283000000000002,0.15280363636363636,-0.041,0.0009769799999999691,2.0,5.0,0.0,Type.LIMIT_BUY,True,0.07000000029802322,152.789999999702,152.86,0,False
363,0.009999999999990905,0.15284,0.15284555555555557,0.026,0.0009370999999999299,2.0,4.0,0.0,Type.LIMIT_BUY,True,0.05000000074505806,152.81999999925495,152.87,0,False
364,0.020000000000010232,0.15284999999999999,0.15285536585365853,0.057,0.0009572200000000067,2.0,3.0,0.0,Type.LIMIT_BUY,True,0.05000000074505806,152.81999999925495,152.87,0,False
365,0.009999999999990905,0.15294,0.15294125,-0.019,0.0009376999999999498,2.0,2.0,0.0,Type.LIMIT_BUY,True,0.07000000029802322,152.90999999970197,152.98,0,False
366,0.030000000000001137,0.15296,0.15296085106382978,0.01,0.0009778799999999705,2.0,1.0,0.0,Type.LIMIT_BUY,True,0.029999999329447746,152.97000000067055,153.0,0,False
367,0.040000000000020464,0.153006,0.15301066666666666,0.047,0.0009981200000000285,2.0,0.0,-0.6,Type.MARKET_BUY,True,0.07000000029802322,152.949999999702,153.02,2,True
368,0.040000000000020464,0.153006,0.15301066666666666,-0.047,0.001256819999999891,3.0,5.0,21.60000008940697,Type.LIMIT_SELL,False,0.07000000029802322,153.050000000298,152.98,3,True
369,0.020000000000010232,0.15303,0.1530204,0.007,0.0014372699999999554,3.0,5.0,0.0,Type.LIMIT_BUY,True,0.029999999329447746,153.03000000067055,153.06,0,False
370,0.030000000000001137,0.15306,0.15307700000000002,0.012,0.001467809999999929,3.0,4.0,9.599999798834324,Type.LIMIT_BUY,True,0.029999999329447746,153.06000000067056,153.09,3,True
371,0.030000000000001137,0.15306999999999998,0.15307727272727273,0.006,0.0017165999999999714,4.0,5.0,20.800000298023225,Type.LIMIT_SELL,False,0.05000000074505806,153.07000000074507,153.02,4,True
372,0.030000000000001137,0.15302000000000002,0.15303947368421053,0.005,0.0020464800000000363,4.0,5.0,0.0,Type.LIMIT_BUY,True,0.09000000357627869,152.97999999642371,153.07,0,False
373,0.03999999999999204,0.15309999999999999,0.15307900000000002,0.014,0.001997079999999869,4.0,4.0,0.0,Type.LIMIT_BUY,True,0.09000000357627869,153.02999999642373,153.12,0,False
374,0.030000000000001137,0.15312,0.15311727272727274,0.017,0.0019874399999999775,4.0,3.0,12.7999997317791,Type.LIMIT_BUY,True,0.029999999329447746,153.10000000067055,153.13,4,True
375,0.060000000000002274,0.15309999999999999,0.15311142857142854,-0.037,0.001995899999999864,5.0,5.0,0.0,Type.LIMIT_SELL,False,0.10000000149011612,153.1700000014901,153.07,0,False
376,0.030000000000001137,0.15309999999999999,0.1530866666666667,-0.049,0.0021161999999999934,5.0,4.0,0.0,Type.LIMIT_SELL,False,0.05000000074505806,153.16000000074507,153.11,0,False
377,0.030000000000001137,0.153095,0.15309875,-0.052,0.002146199999999965,5.0,3.0,15.999999664723873,Type.LIMIT_SELL,False,0.029999999329447746,153.14999999932945,153.12,5,True
378,0.030000000000001137,0.153135,0.15313565217391306,-0.036,0.002447249999999883,5.0,5.0,0.0,Type.LIMIT_BUY,True,0.10000000149011612,153.04799999850988,153.148,0,False
