,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
20,-0.14930019379846388,9.999999747378752e-05,1.0,0.5566327571868896,0.0,30.500000000003524,0.05155038759689923,100.19,-1700.0,0.04844961240310078,516.0,999729570.82,0.02,17.0,41.0,68.0,32.0,62.0,4.0,20.0,59.0,170.0,43.0
21,-0.17628828871891405,6.342203414533287e-05,0.19510316848754883,-0.2883899211883545,0.0,38.49999999999625,0.04072657743785851,100.19,-1700.0,0.05927342256214149,523.0,999669468.82,0.02,41.0,68.0,32.0,6.0,62.0,10.0,20.0,32.0,170.0,82.0
22,-0.006477732793522269,6.094505079090595e-05,0.4416325092315674,0.6669473648071289,0.0,0.0,0.012955465587044537,100.195,-1700.0,0.08704453441295547,494.0,999609354.82,0.01,68.0,32.0,6.0,62.0,6.0,10.0,20.0,38.0,170.0,82.0
23,-0.9772446384948084,2.8473052225308493e-05,-0.4244985580444336,-0.09760808944702148,-20.60147141860679,8.49999999999227,0.0315068493150685,100.19,-800.0,0.0684931506849315,584.0,999759598.6,0.02,83.0,68.0,32.0,6.0,25.0,13.0,20.0,38.0,170.0,129.0
24,-0.04387298301483068,7.702215953031555e-05,0.2212064266204834,-0.5215029716491699,0.0,8.49999999999227,0.018895966029723987,100.185,-800.0,0.11889596602972399,471.0,999679462.6,0.01,83.0,68.0,32.0,14.0,25.0,8.0,13.0,20.0,38.0,170.0
25,-0.12197921072671694,8.624834299553186e-05,0.7591496706008911,-0.18026602268218994,-2.3124190387648014,0.0,0.03584070796460177,100.185,-800.0,0.06415929203539823,452.0,999909818.98,0.01,83.0,68.0,22.0,17.0,25.0,17.0,3.0,20.0,32.0,165.0
26,-0.0971367302052475,9.999999747378752e-05,1.0,-0.27730798721313477,0.0,22.499999999992326,0.012023460410557185,100.16,1900.0,0.08797653958944282,341.0,999809663.98,0.04,150.0,17.0,83.0,3.0,3.0,3.0,27.0,3.0,20.0,32.0
27,0.6560354439011533,3.484345506876707e-05,-0.03661602735519409,-1.0,18.473684210520922,31.999999999983686,0.09136069114470843,100.155,-1300.0,0.008639308855291577,463.0,999699464.98,0.03,17.0,83.0,3.0,3.0,56.0,83.0,1.0,20.0,32.0,165.0
28,0.3040177536232378,4.168268060311675e-05,-0.3450397253036499,1.0,8.40000000000032,9.49999999999136,0.07101449275362319,100.155,-900.0,0.028985507246376812,276.0,999739549.78,0.01,83.0,3.0,33.0,1.0,3.0,49.0,79.0,4.0,1.0,20.0
29,-0.04832846003907136,4.9709873565007e-05,0.8758697509765625,-0.3024523854255676,-0.63157894737031,0.0,0.039814814814814824,100.155,-1400.0,0.06018518518518518,216.0,999699495.78,0.03,41.0,3.0,21.0,33.0,6.0,55.0,4.0,1.0,20.0,32.0
30,-0.012566844919786102,7.981201633810997e-06,-0.2758163809776306,-1.0,0.0,0.0,0.025133689839572204,100.155,-1500.0,0.0748663101604278,187.0,999679470.78,0.01,38.0,22.0,33.0,5.0,6.0,3.0,55.0,4.0,1.0,20.0
31,-0.007291666666666662,4.0108003304339945e-05,1.0,-1.0,0.0,0.0,0.014583333333333323,100.155,-1500.0,0.11458333333333333,192.0,999639414.78,0.01,38.0,22.0,33.0,9.0,6.0,4.0,55.0,4.0,1.0,20.0
32,-0.027272727272727275,4.641236591851339e-05,-0.731134831905365,0.3025939464569092,0.0,0.0,0.05454545454545455,100.16,-1500.0,0.045454545454545456,418.0,999669434.78,0.0,35.0,22.0,33.0,4.0,5.0,9.0,55.0,58.0,32.0,165.0
33,0.7634297201339345,1.5538176739937626e-05,1.0,0.192574143409729,19.53684210526917,22.500000000000853,0.04920634920634921,100.145,-800.0,0.050793650793650794,315.0,999789663.84,0.01,35.0,35.0,22.0,33.0,4.0,30.0,9.0,57.0,58.0,32.0
34,0.043595969089394115,1.1564419764908962e-05,-0.6195307374000549,1.0,3.505263157894902,22.500000000000853,0.046031746031746035,100.145,-700.0,0.05396825396825397,315.0,999799685.84,0.01,35.0,35.0,22.0,33.0,4.0,29.0,10.0,57.0,58.0,32.0
35,1.7824614689232223,4.5714303269051015e-05,0.3770415782928467,0.39573001861572266,40.5473684210591,3.4999999999968168,0.05599022004889976,100.14,200.0,0.044009779951100246,409.0,999929948.96,0.02,35.0,68.0,22.0,34.0,15.0,29.0,15.0,57.0,76.0,58.0
36,0.24846184210528863,1.873719520517625e-05,-0.013014674186706543,-0.5604665875434875,6.505263157895108,5.49999999999784,0.044000000000000004,100.13,300.0,0.056,375.0,999909933.96,0.02,11.0,35.0,68.0,22.0,1.0,61.0,29.0,15.0,57.0,76.0
37,0.45013338298560795,2.9432920200633816e-05,1.0,0.5904160737991333,10.505263157891392,1.0000000000019327,0.037106918238993716,100.12,600.0,0.06289308176100629,318.0,999939991.0,0.04,17.0,34.0,11.0,47.0,49.0,20.0,29.0,18.0,57.0,36.0
38,-0.04138624454148102,9.999999747378752e-05,0.8364652395248413,0.5683069229125977,0.0,0.9999999999990905,0.07467248908296942,100.12,600.0,0.17467248908296942,229.0,999839881.0,0.02,34.0,11.0,47.0,49.0,16.0,3.0,20.0,29.0,18.0,2.0
39,-0.02866376146791339,3.0109800718491897e-05,0.979600191116333,-0.7463772892951965,0.0,3.000000000005798,0.03302752293577982,100.115,600.0,0.13302752293577982,218.0,999809854.0,0.01,34.0,11.0,50.0,49.0,16.0,3.0,3.0,20.0,29.0,3.0
40,-0.694543346574201,3.642221417976543e-05,-0.9075939655303955,-1.0,-14.561403508775996,9.000000000008868,0.005660377358490565,100.125,-100.0,0.09433962264150944,318.0,999779822.0,0.01,67.0,50.0,53.0,10.0,6.0,3.0,1.0,29.0,3.0,96.0
41,-0.1862387323942576,5.2078823500778526e-05,-1.0,0.3730123043060303,-2.9999999999973,9.000000000003183,0.029577464788732397,100.115,1400.0,0.07042253521126761,355.0,999789829.0,0.03,17.0,34.0,67.0,50.0,53.0,5.0,1.0,29.0,3.0,96.0
42,-0.012553225806452068,4.999999873689376e-06,0.4718301296234131,-0.15826565027236938,0.0,3.0000000000001137,0.000806451612903214,100.115,1400.0,0.10080645161290322,248.0,999789829.0,0.01,34.0,67.0,50.0,53.0,3.0,3.0,5.0,1.0,29.0,3.0
43,-0.1413951100245079,4.999999873689376e-06,-0.14592111110687256,-1.0,0.0,28.000000000014325,0.05599022004889976,100.135,600.0,0.044009779951100246,409.0,999709716.0,0.05,34.0,67.0,15.0,53.0,3.0,1.0,96.0,76.0,26.0,38.0
44,2.064659488145027,6.75884002703242e-05,-0.628639817237854,0.17582941055297852,49.6160990712212,31.000000000011596,0.08502994011976048,100.135,200.0,0.014970059880239521,334.0,999829884.0,0.07,17.0,34.0,67.0,15.0,6.0,3.0,52.0,76.0,26.0,38.0
45,-0.03902224669602419,7.616934453835711e-05,-0.028996050357818604,0.029719829559326172,0.0,2.9999999999972715,0.05374449339207049,100.135,200.0,0.046255506607929514,454.0,999749804.0,0.07,17.0,34.0,67.0,15.0,14.0,11.0,121.0,76.0,61.0,38.0
46,1.9221174911663437,4.1761406464502215e-05,0.830986738204956,0.5035451650619507,44.00000000000601,5.000000000001137,0.07526501766784453,100.115,1700.0,0.024734982332155476,566.0,999829976.0,0.05,59.0,103.0,17.0,28.0,10.0,37.0,8.0,121.0,76.0,107.0
