Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2015-02-09,8851540,1069200,1273168,1969652,7152745,1661535,1257158,3872643,821615,853281,1058221,7679040,2700874,3126050,3152433,2466862,598361,2249430,9361938,1883398,6067926,2538142,827936,954942,935635,1224968,3658409,1077244,1184966,3125626
2015-02-10,16175479,1080873,1091276,1798602,5200233,1703298,1292437,1651038,633905,859615,1322240,5652712,3169519,2873367,5265594,1171290,563189,2417929,10650390,1932942,17703102,1742468,889559,1329787,770667,1933852,3020704,1400257,1436477,3157732
2015-02-11,16505930,1075298,1082834,1551825,10230927,1609237,2008997,1774610,861232,950290,871081,4527979,1905607,2760837,4404965,1473491,552753,2586040,11400494,1938904,13421842,1836431,662281,1125818,764761,3243788,4219003,1563229,1393538,2733696
2015-02-12,17365353,4804510,1038829,1377239,28719635,1708927,1988229,2056131,856648,1130863,610743,6002218,4405848,5243212,4202039,1907806,720852,1830963,9786744,2320382,12640730,1903155,789865,1042371,1299544,3644508,3588465,1857937,1724389,3515126
2015-02-13,12645527,6147037,973212,1447749,10315191,1735738,1189196,2136036,782926,1325478,943730,4841935,2642004,3444921,3204903,1467974,588664,1746788,11285012,2664092,4965008,2226495,775618,992072,845070,1730952,3139827,787907,1430510,2998887
2015-02-17,13367633,3510513,914786,988528,10312892,2084140,1518704,4144345,426790,2321825,777588,6353337,2716216,3766125,4164930,2064915,829060,2271096,12466914,1854442,8888113,3718533,1240128,1324247,1021552,1660944,3869896,946097,1567794,3675778
2015-02-18,10731482,2400061,763400,824424,6026007,2058279,1067932,1784930,366217,893393,1077186,5443415,1945242,2815007,2651563,1057423,464127,1884722,8913728,1953774,7583151,2098301,800249,774950,881193,1385584,3589202,746637,1195114,3885692
2015-02-19,7508047,3085035,684272,1099805,5233560,2838029,2114878,2752086,307382,1032576,624928,3272192,2175127,2990562,4393330,1614944,503409,2689955,8692421,1403172,9937997,1716462,616305,699808,1164126,1251924,2871026,592915,2817465,4037538
2015-02-20,13068952,2941942,1219918,1365502,9312583,2460913,2063772,2734253,521875,2900713,903445,7740116,3523280,4571835,4373335,2440759,953343,3125922,10756288,1761174,8840632,3314473,885215,1354322,1352349,2458152,4402650,1061976,3726768,4588411
2015-02-23,14650925,1452290,1571741,1682340,7914727,1642321,1816740,3442301,365683,1242640,638658,6187019,1986254,3691918,3425464,1893749,595740,2109241,8125007,1106466,6212048,2411098,570490,2384424,854047,1415296,4888815,1368756,1658749,2872365
2015-02-24,14450867,2093776,837850,1149545,4427546,1477536,1469490,3749578,581937,2045628,832541,8644357,1844530,4855890,3528553,1206633,528523,2091885,7880595,1152722,6227410,1488506,462223,915194,719405,2471132,4627155,1507724,1271979,2658976
2015-02-25,15951564,1683544,841757,1188607,4881980,1296704,1589649,2259952,477342,1570179,846085,5834188,2623576,3838697,2882389,3576880,567974,1733402,7877984,1583528,7715907,1238683,553118,883566,728215,1216212,2919764,929083,1692293,2662178
2015-02-26,18517497,2211626,1118520,1002079,6819005,1511968,1394154,2443223,528669,986996,1288443,6257920,2305911,3508382,4480341,3187047,577954,2188742,10546716,1635870,5265344,1634007,522260,929007,753273,6321936,3437671,1344958,1317008,2730457
2015-02-27,16561003,1764625,1044702,1381452,8426623,1956751,1519155,2239563,758462,1917626,1111669,7612759,2706027,4339793,7569265,1901430,720374,3444813,9886325,1655228,6270020,2667953,1283806,904388,1084725,3130912,5486446,2421836,1695393,3929501
2015-03-02,12050277,1258890,837263,1066178,11224398,1894456,1638697,1141519,416583,1205360,1170178,6994056,2563226,3189725,4545331,2462340,706531,3458090,11575392,1949962,5428711,1918449,427976,857224,804182,1868316,3009903,1316506,1319449,4128205
2015-03-03,7550091,1422326,1385616,1137001,9086945,1598221,1644086,1685391,418892,1070732,691319,6909587,1821620,3519192,3331594,1544273,758752,2858322,9449715,1626126,6459307,1748071,421067,1067126,1025137,1812996,3807437,939255,1378333,3135917
2015-03-04,7375978,1655221,1018442,1489129,7833309,1430319,1740089,1758580,364904,908063,882280,5370011,2899610,3876700,5168172,2018014,574935,3387932,10098018,1398936,4628265,1739130,462417,777920,570475,2637904,3550187,1589895,1522014,3391482
2015-03-05,11797016,1292521,747154,1603922,5747055,1394763,1684626,1536737,298570,1110797,908643,5335831,1807596,3061707,2613651,2166721,596050,3306655,9085827,1993608,9008082,1786655,349723,750659,623196,1193276,2702629,819227,1438994,3171738
2015-03-06,17027658,1876462,932918,1969192,8308929,2162625,2061096,2091643,981947,1301313,980528,7775704,2643296,6461912,5400723,2266403,911803,3197989,12939148,2019788,14921100,3154991,617963,1141168,1190291,2554264,4681647,1133176,1783887,4113289
2015-03-09,18714030,985510,762517,1179830,5507461,1730975,1704482,2069234,710482,2302481,1334596,8951329,1774316,3927287,2931064,1766127,593876,2120467,8495743,1463450,9949764,1784883,338800,1446346,1289311,2334688,4733113,867520,1314480,2867211
2015-03-10,15161478,1992184,1437765,1464118,8844809,2691230,2219372,2198554,697381,1797177,1159742,11260862,3406408,4513263,4580018,1676498,997036,3831437,14547820,2050798,13467959,2623724,547473,1189083,1562863,2370452,4783394,1771021,1993485,5143894
2015-03-11,14316649,1046891,820077,1270763,7450066,1859401,2197376,2040332,438076,1089539,2116557,12187214,2920801,3189767,4466294,1665196,783044,3215071,9866831,1734896,11110133,2320355,488114,812589,1118458,2332912,3877994,1332465,1414673,3474024
2015-03-12,11808499,2468172,724911,923883,6461200,1542994,2801711,1485821,873840,1345508,846384,24111696,2400176,4040883,4296205,1760087,716575,3208157,15641572,1569126,9234460,2135712,356343,779027,1251435,2498004,3481066,1920437,1623002,2873519
2015-03-13,12370894,1825181,686497,1621186,9485554,2215639,1939196,1629623,627389,1064480,1532968,11862581,2268125,4083370,5265655,1486577,975076,3243412,15200264,2353740,8485868,2142503,473699,801661,2249942,2136320,5124391,1029341,1452990,3787936
2015-03-16,10323088,1343529,713947,1329434,7865813,1885558,1804115,1474616,613579,1364283,969969,7620815,2461586,5413925,3763924,1360298,756593,3141583,11280431,2583550,11714281,3463478,498502,1515369,1993783,3096324,3845525,2703714,1484441,3789296
