act_dir,rew,total_pnl,pnl,inv_pnl,buy_frac,sell_frac,curr_q,mp,sp,inv,bp,bid_vol,ask_vol,filled
-1,-0.05012499999999988,-0.024999999999977263,0.0,0.049999999999954525,0.0,1.0,0.4,99.98,0.0,-10.0,99999900010.0,226.0,17.01,True
0,-0.07525000000000014,-0.05000000000002558,0.0,-0.10000000000005116,0.0,0.5,0.25,99.99000000000001,0.01999999999999602,-10.0,99999900010.0,250.0,12.01,True
0,0.041666666666666685,0.0,0.0,-0.0,0.0,0.3333333333333333,0.33333333333333337,99.99000000000001,0.01999999999999602,-10.0,99999900010.0,550.0,12.01,True
0,0.020708333333333072,-0.025000000000048317,0.0,0.050000000000096634,0.0,0.25,0.375,99.985,0.009999999999990905,-10.0,99999900010.0,800.0,17.01,True
1,-0.037500000000000006,0.0,0.0,0.0,0.2,0.2,0.3,99.985,0.009999999999990905,0.0,100000000000.0,855.0,17.01,True
1,-0.02512499999999988,-0.024999999999977263,0.0,-0.049999999999954525,0.3333333333333333,0.16666666666666666,0.25,99.98,0.0,10.0,99999900010.0,944.0,432.01,True
-1,-0.0678571428570974,-9.99999999999091,-9.99999999999091,-0.0,0.2857142857142857,0.2857142857142857,0.2142857142857143,99.975,0.010000000000005116,0.0,99999999990.0,813.0,432.01,True
-1,-0.01339285714285715,0.0,0.0,-0.0,0.25,0.375,0.1875,99.975,0.010000000000005116,-10.0,99999900020.0,890.0,432.01,True
0,0.017236111111110876,-0.025000000000048317,0.0,-0.050000000000096634,0.2222222222222222,0.3333333333333333,0.22222222222222224,99.98,0.0,-10.0,99999900020.0,1195.0,432.01,True
1,-0.06111111111113656,-10.00000000000509,-10.00000000000509,0.0,0.3,0.3,0.2,99.98,0.0,0.0,99999999980.0,1180.0,432.01,True
-1,-0.009090909090909094,0.0,0.0,-0.0,0.2727272727272727,0.36363636363636365,0.18181818181818182,99.98,0.0,-10.0,99999900006.0,1163.0,432.01,True
0,0.013132575757575874,-0.024999999999977263,0.0,-0.049999999999954525,0.25,0.3333333333333333,0.20833333333333334,99.985,-0.009999999999990905,-10.0,99999900006.0,1635.0,432.01,True
-1,-0.008012820512820526,0.0,0.0,-0.0,0.23076923076923078,0.38461538461538464,0.1923076923076923,99.985,0.009999999999990905,-20.0,99999800016.0,847.0,12.01,True
-1,-0.006868131868131844,0.0,0.0,-0.0,0.21428571428571427,0.42857142857142855,0.1785714285714286,99.985,0.009999999999990905,-30.0,99999700036.0,847.0,12.01,True
1,-0.04953571428566074,-8.716666666655954,-8.666666666655999,0.09999999999990905,0.26666666666666666,0.4,0.16666666666666666,99.98,0.0,-20.0,99999800008.66,852.0,252.01,True
1,0.0013333333333417768,1.308333333335021,1.3333333333349984,-0.049999999999954525,0.3125,0.375,0.15625,99.985,0.009999999999990905,-10.0,99999899991.32,932.0,12.01,True
1,-0.047928921568573625,-8.6666666666559,-8.6666666666559,0.0,0.35294117647058826,0.35294117647058826,0.14705882352941174,99.985,0.009999999999990905,0.0,99999999963.98,958.0,12.01,True
