act_dir,rew,total_pnl,pnl,inv_pnl,buy_frac,sell_frac,curr_q,mp,sp,inv,bp,bid_vol,ask_vol,filled
0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,99.98,0.0,0.0,100000000000.0,226.0,17.01,True
1,0.024749999999999894,-0.05000000000002558,0.0,0.10000000000005116,0.5,0.0,0.55,99.99000000000001,0.01999999999999602,10.0,99999900020.0,250.0,12.01,True
0,-0.041666666666666685,0.0,0.0,0.0,0.3333333333333333,0.0,0.4666666666666667,99.99000000000001,0.01999999999999602,10.0,99999900020.0,550.0,12.01,True
0,-0.020958333333333558,-0.025000000000048317,0.0,-0.050000000000096634,0.25,0.0,0.42500000000000004,99.985,0.009999999999990905,10.0,99999900020.0,800.0,17.01,True
0,-0.012500000000000011,0.0,0.0,0.0,0.2,0.0,0.4,99.985,0.009999999999990905,10.0,99999900020.0,855.0,17.01,True
0,0.008208333333333446,-0.024999999999977263,0.0,-0.049999999999954525,0.16666666666666666,0.0,0.4166666666666667,99.98,0.0,10.0,99999900020.0,944.0,432.01,True
1,0.012845238095237594,-0.050000000000096634,0.0,-0.10000000000019327,0.2857142857142857,0.0,0.44285714285714284,99.975,0.010000000000005116,20.0,99999800040.0,813.0,432.01,True
0,-0.008928571428571397,0.0,0.0,0.0,0.25,0.0,0.42500000000000004,99.975,0.010000000000005116,20.0,99999800040.0,890.0,432.01,True
1,0.02045833333333259,-0.07500000000014495,0.0,0.1500000000002899,0.3333333333333333,0.0,0.4666666666666667,99.98,0.0,30.0,99999700060.0,1195.0,432.01,True
0,-0.008333333333333331,0.0,0.0,0.0,0.3,0.0,0.45,99.98,0.0,30.0,99999700060.0,1180.0,432.01,True
1,0.0159090909090909,0.0,0.0,0.0,0.36363636363636365,0.0,0.4818181818181818,99.98,0.0,40.0,99999600080.0,1163.0,432.01,True
0,-0.008075757575757115,-0.09999999999990905,0.0,0.1999999999998181,0.3333333333333333,0.0,0.4666666666666667,99.985,-0.009999999999990905,40.0,99999600080.0,1635.0,432.01,True
0,-0.0064102564102563875,0.0,0.0,0.0,0.3076923076923077,0.0,0.4538461538461539,99.985,0.009999999999990905,40.0,99999600080.0,847.0,12.01,True
0,-0.0054945054945055305,0.0,0.0,0.0,0.2857142857142857,0.0,0.44285714285714284,99.985,0.009999999999990905,40.0,99999600080.0,847.0,12.01,True
0,-0.00526190476190429,-0.09999999999990905,0.0,-0.1999999999998181,0.26666666666666666,0.0,0.43333333333333335,99.98,0.0,40.0,99999600080.0,852.0,252.01,True
0,-0.004666666666666197,-0.09999999999990905,0.0,0.1999999999998181,0.25,0.0,0.42500000000000004,99.985,0.009999999999990905,40.0,99999600080.0,932.0,12.01,True
