,reward,action_size,action_sym,action_asym,recent_pl_change,change_inven_pnl,diff_market_share,curr_mp,current_inventory,current_market_share,total_volume,bp,spread,bid_5,bid_4,bid_3,bid_2,bid_1,ask_1,ask_2,ask_3,ask_4,ask_5
0,-0.28161764705882353,4.999999873689376e-06,-0.07184511423110962,0.8333756923675537,0.0,0.0,0.5632352941176471,99.995,500.0,0.03676470588235294,136.0,9999950000.0,0.01,0.0,0.0,0.0,0.0,68.0,63.0,5.0,0.0,0.0,0.0
1,-0.5156015037595136,3.457525963312946e-05,-0.7006619572639465,-0.6468125581741333,-5.00000000000256,0.0,0.5812030075187969,99.985,500.0,0.018796992481203006,266.0,9999950000.0,0.01,0.0,0.0,0.0,100.0,33.0,65.0,63.0,5.0,0.0,0.0
2,-0.19161538461547759,4.999999873689376e-06,0.5204617977142334,-0.13414424657821655,2.49999999999773,2.4999999999977263,0.5879807692307693,99.98,500.0,0.01201923076923077,416.0,9999950005.0,0.0,0.0,0.0,0.0,100.0,98.0,150.0,63.0,5.0,0.0,0.0
3,-0.21182402912620435,7.643936987733468e-05,0.6117274761199951,0.9142757654190063,0.0,2.4999999999977263,0.40339805825242714,99.98,8100.0,0.1966019417475728,412.0,9999190157.0,0.0,0.0,0.0,0.0,108.0,88.0,72.0,139.0,5.0,0.0,0.0
4,-0.07888888888888887,9.49171298998408e-05,0.7801941633224487,0.6108543872833252,0.0,0.0,0.15777777777777774,99.99,15300.0,0.44222222222222224,450.0,9998240347.0,0.02,0.0,0.0,0.0,108.0,112.0,225.0,5.0,0.0,0.0,0.0
5,-0.08445945945945946,5.955038795946166e-05,1.0,-0.6504551768302917,0.0,0.0,0.16891891891891891,99.99,15300.0,0.43108108108108106,740.0,9997640587.0,0.02,0.0,0.0,160.0,108.0,92.0,375.0,5.0,0.0,0.0,0.0
6,-0.09432989690721649,4.050269490107894e-05,1.0,-0.5084905624389648,0.0,0.0,0.18865979381443299,99.985,15300.0,0.411340206185567,970.0,9997240747.0,0.01,0.0,95.0,200.0,108.0,82.0,65.0,415.0,5.0,0.0,0.0
7,-0.06330275229357796,7.471091521438211e-05,-0.5655080080032349,-0.0401538610458374,0.0,0.0,0.12660550458715591,99.985,18600.0,0.47339449541284406,1090.0,9996490897.0,0.01,0.0,95.0,200.0,141.0,114.0,120.0,415.0,5.0,0.0,0.0
8,-0.06358695652173912,7.901999924797565e-05,1.0,-0.8448520302772522,0.0,0.0,0.12717391304347825,99.98,25100.0,0.47282608695652173,1288.0,9995701134.0,0.0,0.0,95.0,200.0,320.0,29.0,25.0,199.0,415.0,5.0,0.0
9,-0.9912468638757219,4.8766327381599694e-05,-0.2202048897743225,-0.9662199020385742,-20.48804780873897,0.0,0.13856942496493685,99.975,20200.0,0.46143057503506313,1426.0,9995701163.0,0.01,0.0,0.0,95.0,200.0,418.0,94.0,199.0,415.0,5.0,0.0
10,-0.08805031446540879,1.5719451766926795e-05,0.5844681262969971,0.922504186630249,0.0,0.0,0.17610062893081757,99.975,21800.0,0.4238993710691824,1590.0,9995541195.0,0.01,0.0,0.0,95.0,297.0,418.0,145.0,215.0,415.0,5.0,0.0
11,-0.5299585574580659,9.412182407686487e-06,0.7916426658630371,0.16822874546051025,0.0,109.00000000021066,0.1770171149144254,99.98,21800.0,0.4229828850855746,1636.0,9995451222.0,0.0,0.0,95.0,297.0,427.0,19.0,154.0,224.0,415.0,5.0,0.0
12,-0.936324657535953,9.999999747378752e-05,0.0798870325088501,0.1410583257675171,0.0,218.00000000042132,0.10684931506849316,99.975,31800.0,0.4931506849315068,1606.0,9994451422.0,0.01,0.0,0.0,95.0,297.0,421.0,49.0,324.0,415.0,5.0,0.0
13,-1.1351030173363301,4.2238476453348994e-05,-1.0,0.03970766067504883,-0.14089301057390102,268.00000000051796,0.08672566371681412,99.98,33200.0,0.5132743362831859,1582.0,9994281456.0,0.0,0.0,95.0,297.0,421.0,3.0,17.0,329.0,415.0,5.0,0.0
14,-0.7598848070014373,9.999999747378752e-05,-1.0,0.6015372276306152,-2.0065631762662974,159.0000000003073,0.05127892813641899,99.98,42300.0,0.548721071863581,1642.0,9993381536.0,0.0,0.0,95.0,297.0,442.0,2.0,7.0,379.0,415.0,5.0,0.0
15,0.1316842956403805,9.999999747378752e-05,0.3211188316345215,0.573556661605835,5.9865332575243,0.0,0.27541940189642594,99.985,43600.0,0.32458059810357404,1371.0,9994341075.0,0.01,0.0,95.0,197.0,363.0,161.0,315.0,240.0,0.0,0.0,0.0
16,0.6229857714501222,5.0619710236787796e-05,-1.0,0.9065561294555664,17.16348017483535,0.0,0.2987416728349371,99.985,39800.0,0.3012583271650629,1351.0,9994321077.0,0.01,0.0,95.0,197.0,363.0,161.0,295.0,240.0,0.0,0.0,0.0
17,-0.1674873280231716,3.0976290872786194e-05,-0.6784815192222595,0.7823680639266968,0.0,0.0,0.3349746560463432,99.98,50100.0,0.2650253439536568,1381.0,9994411068.0,0.0,0.0,95.0,197.0,460.0,79.0,2.0,308.0,240.0,0.0,0.0
18,-1.1697644600453736,4.999999873689376e-06,-0.623836874961853,-0.528508722782135,0.51875934917689,247.99999999977445,0.3774172615184945,99.985,46800.0,0.2225827384815055,1541.0,9994171097.0,0.01,0.0,95.0,197.0,465.0,164.0,280.0,340.0,0.0,0.0,0.0
19,-0.8085069304310734,7.235193334054202e-05,-0.7971459627151489,-1.0,8.416207659433901,247.99999999977445,0.3656725502130249,99.985,36600.0,0.23432744978697503,1643.0,9994471139.0,0.01,0.0,95.0,197.0,537.0,158.0,316.0,340.0,0.0,0.0,0.0
20,0.2122669981206695,9.999999747378752e-05,-0.5354952812194824,-0.29988425970077515,6.43321601984326,0.0,0.15445544554455443,99.985,23100.0,0.44554455445544555,1010.0,9994821104.0,0.01,0.0,0.0,97.0,253.0,158.0,281.0,221.0,0.0,0.0,0.0
21,0.31063505396458485,9.999999747378752e-05,-1.0,-1.0,7.7530429703073995,0.0,0.07650375939849619,99.98,17800.0,0.5234962406015038,1064.0,9994491201.64,0.0,0.0,0.0,97.0,253.0,180.0,32.0,281.0,221.0,0.0,0.0
22,0.02653748006313139,9.999999747378752e-05,0.29653871059417725,-0.6867280602455139,1.2666666666519006,0.0,0.06092503987240827,99.98,11700.0,0.5390749601275917,1254.0,9992981606.16,0.0,0.0,0.0,97.0,353.0,170.0,61.0,352.0,221.0,0.0,0.0
23,-1.8788517857190004,5.14690182171762e-05,-0.5595148205757141,1.0,-41.276071428676204,0.0,0.042857142857142816,99.98,17800.0,0.5571428571428572,1190.0,9993961378.62,0.0,0.0,0.0,97.0,353.0,133.0,34.0,352.0,221.0,0.0,0.0
