,id,buying_power,holding_balance,borrowed_balance,total_pl,total_shares
0,5dd24a6b-d290-4457-a845-edc2ec0b6191,99984600000.0,0.0,13097900.0,-2296340.0,46352400
1,c895630f-25a8-4427-9014-c27d368168ea,99859200000.0,0.0,135880000.0,-4964870.0,46087700
2,0545898e-b405-425a-8c5e-ab6c1f599b77,99908100000.0,0.0,87021400.0,-4863430.0,47428000
3,a81e894b-9d6f-47f6-a924-68242385d601,99981600000.0,0.0,17352700.0,-1082700.0,46935000
4,63987df1-f8e2-440f-aa2b-f1df7ca56d4d,99942900000.0,0.0,54834500.0,-2318820.0,47971800
5,3bc2f573-e74a-41f4-a6ee-76973577e9e4,99980600000.0,0.0,0.0,-856517.0,46131600
6,c87a5da6-a18f-49e2-9a06-14f0f6540193,99995800000.0,0.0,3999910.0,-201748.0,47438200
7,69d29076-9688-4469-b40a-24d6682f5e7f,9919240000.0,5226710.0,0.0,5215310.0,183343800
8,152ffca1-e4c4-4e47-a6b5-3f00a2969db6,9943820000.0,2573170.0,0.0,4792810.0,182621000
9,51e4ded8-b203-41ae-bae1-551a92275630,99879800000.0,0.0,116118000.0,-4104550.0,46136900
10,678c2936-b39c-463c-8d51-ce77543ec220,99993700000.0,0.0,5737440.0,-540585.0,46874300
11,b815c4cd-9044-4969-9f56-3e6c33fbadec,9840760000.0,5226710.0,0.0,8755510.0,164392600
12,60eb61fb-df33-4818-8e25-c5e1a4b8d49f,9879980000.0,2201240.0,0.0,6052360.0,180549700
13,b98ebef6-2715-40af-af50-ec143a1327b0,99990300000.0,0.0,8198800.0,-1473980.0,47088000
