,id,buying_power,holding_balance,borrowed_balance,total_pl,total_shares
0,3ad0f8e9-3d04-4fe6-a139-f9a2e6315368,99964300000.0,0.0,35189700.0,-496333.0,46118000
1,d8d58668-483f-4af9-a75c-8e86b0fedc22,99938400000.0,0.0,61173100.0,-391829.0,46479900
2,133e6992-e764-4f39-9493-e3075314281e,99950200000.0,0.0,48969100.0,-842299.0,46070300
3,21860099-d52c-4ae2-9a43-fcf5c7fca9cd,99903200000.0,0.0,95970800.0,-859733.0,45931200
4,a50850b3-7c43-4278-abf0-ca5f98fa5115,99990700000.0,0.0,8579710.0,-694698.0,46407200
5,aa5c12e7-9159-46be-8a70-9256e0e375f8,99950100000.0,0.0,49152900.0,-791869.0,45779200
6,5bbeddb0-0a4a-428c-b41a-91c8e8b1d3e9,9846810000.0,0.0,0.0,1857040.0,160926100
7,a91ba593-f879-464b-8396-1db1a14586e3,99944400000.0,0.0,55128100.0,-443699.0,46226100
8,12269d78-48b0-4dd2-af7d-a4cefc5a8518,9889700000.0,0.0,0.0,1602610.0,181133600
9,57f149c8-9a56-43b5-bcdc-7c1145c6564b,99987900000.0,0.0,0.0,1109430.0,46644100
10,0c7cbb80-0100-463c-9cad-c1ed59887353,99992300000.0,0.0,7366790.0,-350993.0,45768200
11,a0dd9ca3-14ed-417b-bc71-5fe552ee328a,9921020000.0,0.0,0.0,1428660.0,181817400
12,5c79f980-dd01-49b1-8da6-f18bb20426e0,9914380000.0,0.0,0.0,1197900.0,179635700
13,020b44fc-71c3-4255-8481-10f0c2de905c,99913500000.0,0.0,85064000.0,-1481880.0,46555200
