,id,buying_power,holding_balance,borrowed_balance,total_pl,total_shares
0,186d0b87-da8c-42cf-be5c-18fea895f907,99998000000.0,0.0,0.0,-616892.0,47560000
1,41bf969c-cb7d-4fa6-8f56-9f22ab5449f4,99990900000.0,0.0,9562050.0,487295.0,46766300
2,e8ab4726-d4e5-42de-9537-c5e96bd504c1,99980300000.0,0.0,19410800.0,-263000.0,46790100
3,8bbac7d8-c43a-467e-9bbc-4a706c5df306,99942000000.0,0.0,56834900.0,-1152610.0,46885900
4,b4b23cfc-03dc-415b-9f35-5a07832a1c40,9908660000.0,3496850.0,0.0,3050020.0,166648700
5,eef4a6a0-b293-4f83-b18c-4cc647916115,9881860000.0,4052580.0,0.0,2381590.0,182340500
6,d7c386b6-9dec-417c-b9c9-82b3b8549106,9877790000.0,1857620.0,0.0,2717800.0,182422000
7,c73d311e-b17e-4190-be86-b06a3d12d9b1,9894420000.0,3993780.0,0.0,2819620.0,182138400
8,da6a3935-3aaa-4953-a0cf-cd8775884f78,99942600000.0,0.0,56685900.0,-700124.0,47278400
9,cb721c2c-e69d-4cff-bd94-1abe53fe1f53,99991400000.0,0.0,8993920.0,380735.0,46689200
10,57153011-b1dd-4945-87fd-8842964cce8d,99865000000.0,0.0,131348000.0,-3641350.0,46483200
11,e8797b03-7ec9-4e0f-b76d-ca82642bedb3,99992100000.0,0.0,7487800.0,-454886.0,46859600
12,caa87e3d-124e-471d-bcff-955a167df7ed,99961300000.0,0.0,37512600.0,-1201390.0,46450900
13,db3ff9c7-d599-481c-8c10-1b71b15bf6be,99891600000.0,0.0,106476000.0,-1907520.0,46499800
